rank,product_id,price,level,total_yellow,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,matched_tier_roles,unmatched_roles_count,tier_breakdown,weapon_breakdown
173,8107436,120,71,20,0.00,195.00,140.00,335.00,2.792,8,2,维里奈:T1@1鸣=56.0 | 椿:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0 | 忌炎:T2@0鸣=19.0,裁春:signature->椿@1鸣=30.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 赫奕流明:signature->长离@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
174,34531850,100,72,20,0.00,179.00,100.00,279.00,2.790,7,3,维里奈:T1@2鸣=68.0 | 椿:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0 | 忌炎:T2@0鸣=19.0,裁春:signature->椿@1鸣=30.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 琼枝冰绡:signature->折枝@1鸣=10.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
175,35015598,130,54,14,0.14,330.45,30.00,360.59,2.774,3,11,绯雪:T0@4鸣=238.65 | 维里奈:T1@2鸣=68.0 | 散华:T2@2鸣=23.8,血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
176,35165795,135,47,13,0.39,327.60,40.00,367.99,2.726,4,14,绯雪:T0@5鸣=255.3 | 散华:T2@3鸣=27.3 | 维里奈:T1@0鸣=40.0 | 卜灵:T2@0鸣=5.0,镭射切变:standard->常驻@1鸣=20.0 | 血誓盟约:standard->常驻@1鸣=20.0
177,35484615,80,55,9,5.31,138.80,70.00,214.11,2.676,4,8,散华:T2@2鸣=23.8 | 维里奈:T1@1鸣=56.0 | 椿:T1@0鸣=40.0 | 忌炎:T2@0鸣=19.0,裁春:signature->椿@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
178,34536735,130,68,18,0.00,186.00,160.00,346.00,2.662,5,3,维里奈:T1@2鸣=68.0 | 赞妮:T1@0鸣=40.0 | 椿:T1@0鸣=40.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0,焰光裁定:signature->赞妮@1鸣=30.0 | 裁春:signature->椿@1鸣=30.0 | 赫奕流明:signature->长离@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
179,32515163,80,41,12,0.05,188.20,20.00,208.25,2.603,5,14,散华:T2@5鸣=32.2 | 琳奈:T0@0鸣=111.0 | 相里要:T2@0鸣=16.0 | 今汐:T2@0鸣=10.0 | 忌炎:T2@0鸣=19.0,血誓盟约:standard->常驻@1鸣=20.0
180,34008133,150,45,18,6.56,271.60,104.00,382.16,2.548,8,12,散华:T2@6鸣=33.6 | 爱弥斯:T0@0鸣=111.0 | 赞妮:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 吟霖:T2@0鸣=7.0 | 维里奈:T1@0鸣=40.0 | 卜灵:T2@0鸣=5.0,千古洑流:signature->今汐@2鸣=14.0 | 万物持存的注释:signature->尤诺@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0
181,34129569,150,58,25,0.41,258.30,123.00,381.71,2.545,5,12,散华:T2@3鸣=27.3 | 莫宁:T0.5@0鸣=75.0 | 琳奈:T0@0鸣=111.0 | 维里奈:T1@0鸣=40.0 | 卜灵:T2@0鸣=5.0,血誓盟约:standard->常驻@5鸣=43.0 | 宙算仪轨:signature->莫宁@1鸣=50.0 | 相位涟漪:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
182,34700534,90,38,5,7.33,138.30,80.00,225.62,2.507,2,9,散华:T2@3鸣=27.3 | 爱弥斯:T0@0鸣=111.0,永远的启明星:signature->爱弥斯@1鸣=60.0 | 血誓盟约:standard->常驻@1鸣=20.0
183,34537260,135,67,19,0.00,226.00,110.00,336.00,2.489,8,2,今汐:T2@1鸣=14.0 | 维里奈:T1@1鸣=56.0 | 珂莱塔:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 吟霖:T2@0鸣=7.0 | 忌炎:T2@0鸣=19.0,裁春:signature->椿@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
184,7251602,60,54,10,0.00,119.10,30.00,149.10,2.485,4,12,散华:T2@4鸣=30.1 | 今汐:T2@1鸣=14.0 | 维里奈:T1@1鸣=56.0 | 折枝:T2@0鸣=19.0,时和岁稔:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
185,33360240,60,46,10,0.68,136.20,10.00,146.88,2.448,6,11,散华:T2@5鸣=32.2 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0 | 忌炎:T2@0鸣=19.0 | 维里奈:T1@0鸣=40.0,千古洑流:signature->今汐@1鸣=10.0
186,34057745,100,48,12,0.11,206.30,20.00,226.41,2.264,5,13,散华:T2@3鸣=27.3 | 卡提希娅:T0.5@0鸣=89.0 | 椿:T1@0鸣=40.0 | 今汐:T2@0鸣=10.0 | 维里奈:T1@0鸣=40.0,血誓盟约:standard->常驻@1鸣=20.0
187,34592262,150,66,17,4.82,244.10,70.00,318.92,2.126,8,13,散华:T2@4鸣=30.1 | 嘉贝莉娜:T0.5@0鸣=70.0 | 椿:T1@0鸣=40.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0 | 忌炎:T2@0鸣=19.0 | 维里奈:T1@0鸣=40.0,掣傀之手:signature->吟霖@1鸣=10.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 擎渊怒涛:standard->常驻@1鸣=20.0
188,31454193,150,57,14,0.20,279.60,20.00,299.80,1.999,7,13,散华:T2@6鸣=33.6 | 维里奈:T1@2鸣=68.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 长离:T1@0鸣=28.0 | 吟霖:T2@0鸣=7.0 | 忌炎:T2@0鸣=19.0,诸方玄枢:signature->相里要@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0
189,8107380,100,62,18,0.00,118.80,80.00,198.80,1.988,5,4,吟霖:T2@1鸣=9.8 | 菲比:T1@0鸣=40.0 | 今汐:T2@0鸣=10.0 | 忌炎:T2@0鸣=19.0 | 维里奈:T1@0鸣=40.0,和光回唱:signature->菲比@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0
190,8107387,150,72,20,0.00,179.00,100.00,279.00,1.860,7,3,维里奈:T1@2鸣=68.0 | 椿:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0 | 忌炎:T2@0鸣=19.0,裁春:signature->椿@1鸣=30.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 琼枝冰绡:signature->折枝@1鸣=10.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
191,34738585,129,0,18,0.00,169.80,60.00,229.80,1.781,7,3,维里奈:T1@2鸣=68.0 | 吟霖:T2@1鸣=9.8 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0 | 忌炎:T2@0鸣=19.0,时和岁稔:standard->常驻@1鸣=20.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 擎渊怒涛:standard->常驻@1鸣=20.0
192,35867734,49,41,6,0.46,60.30,20.00,80.76,1.648,3,10,散华:T2@3鸣=27.3 | 长离:T1@0鸣=28.0 | 卜灵:T2@0鸣=5.0,千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0
193,33315356,50,35,6,1.76,73.60,0.00,75.36,1.507,3,12,今汐:T2@1鸣=14.0 | 散华:T2@1鸣=19.6 | 维里奈:T1@0鸣=40.0,
194,35621007,159,0,22,0.00,105.00,130.00,235.00,1.478,3,3,赞妮:T1@0鸣=40.0 | 布兰特:T1@0鸣=46.0 | 忌炎:T2@0鸣=19.0,死与舞:signature->珂莱塔@1鸣=30.0 | 裁春:signature->椿@1鸣=30.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
195,5705689,100,49,10,0.00,100.30,20.00,120.30,1.203,4,11,散华:T2@3鸣=27.3 | 维里奈:T1@1鸣=56.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0,时和岁稔:standard->常驻@1鸣=20.0
196,5781254,150,53,13,0.00,111.00,50.00,161.00,1.073,5,10,散华:T2@5鸣=32.2 | 吟霖:T2@1鸣=9.8 | 折枝:T2@0鸣=19.0 | 今汐:T2@0鸣=10.0 | 维里奈:T1@0鸣=40.0,时和岁稔:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
197,35402088,110,34,5,15.18,73.00,20.00,108.18,0.983,3,10,忌炎:T2@0鸣=19.0 | 维里奈:T1@0鸣=40.0 | 散华:T2@0鸣=14.0,浩境粼光:standard->常驻@1鸣=20.0
198,34661982,150,50,8,17.00,96.30,20.00,133.30,0.889,4,11,散华:T2@3鸣=27.3 | 今汐:T2@0鸣=10.0 | 忌炎:T2@0鸣=19.0 | 维里奈:T1@0鸣=40.0,浩境粼光:standard->常驻@1鸣=20.0
199,4491438,100,30,5,0.00,80.60,0.00,80.60,0.806,3,8,忌炎:T2@1鸣=26.6 | 维里奈:T1@0鸣=40.0 | 散华:T2@0鸣=14.0,
200,33940315,150,35,13,1.68,77.30,10.00,88.97,0.593,3,13,散华:T2@3鸣=27.3 | 今汐:T2@0鸣=10.0 | 维里奈:T1@0鸣=40.0,千古洑流:signature->今汐@1鸣=10.0
